model_name,battery_kWh,motor_power_kW,range_km,energy_per_km,efficiency_km_per_kWh,power_ratio,driving_style,style_multiplier,initial_soc,trip_distance_km,energy_consumed_kWh,final_soc
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,14.31160202,8.634847401,0.606079297,11.9805278
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,66.54160733,31.97385991,4.212125258,61.20980321
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,31.04694407,27.61275939,3.195921226,27.00147417
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,26.71346942,28.99212064,2.603374099,15.86607734
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Highway,1.1,47.99524693,28.79255835,2.913690357,39.54976764
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,85.82254976,18.44300034,2.020043848,82.14974276
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,39.3217984,10.53529054,1.153920103,37.22376185
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,38.48574217,29.97896006,4.10445784,31.02309156
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,34.47230011,35.39123877,2.767484172,28.32233529
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,37.27199317,24.65155345,2.468058944,32.60647531
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,77.42367976,23.68506685,2.330128104,74.47415051
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,88.71817591,8.013889096,0.943920977,86.93382624
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,85.4391503,17.84642907,2.035404776,78.468586
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,93.28095471,19.60723532,2.037327028,87.46002035
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,31.46769485,26.4357354,2.64668729,26.46450527
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,66.15874898,23.9596271,2.473124184,56.64673289
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,City,1,23.42304655,29.75064112,2.714474554,14.12690082
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,83.22352421,25.9948266,2.964738436,73.07031039
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,31.06766076,19.86488613,2.85087344,23.56536223
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,18.79328827,3.01617443,0.213112907,18.18439425
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,17.62228038,24.48984313,3.117919843,13.6755464
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,86.76461313,23.88498802,2.216401727,82.35824786
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,16.49498554,23.46657718,2.088648231,11.85354502
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,10.26351497,25.90345155,3.717487306,0.480653639
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Eco,0.85,45.46531356,31.64082607,2.134500171,36.92731287
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,75.79857479,21.97981698,1.942083621,71.17456617
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Eco,0.85,95.32502903,24.29793672,2.491344537,92.00323632
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,84.8632202,20.52724776,2.149450028,80.08666459
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,82.2382596,22.80266873,2.622202016,74.63767404
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Highway,1.1,81.69976085,15.38710257,2.044180293,78.5548681
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,19.02784354,35.73488315,2.950857403,7.678391992
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,34.83161328,16.83988264,1.71423955,32.6616898
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,94.40014837,36.30258235,3.630258235,85.75667638
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Eco,0.85,78.20129017,24.17259389,1.54602745,69.26471532
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,72.61334486,3.324154798,0.32440087,71.75965836
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Aggressive,1.25,37.80380532,29.98086898,3.227914403,20.99175113
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,19.80572338,5.021773551,0.683792695,18.64675271
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,75.8046818,22.73458909,1.804332467,68.58735193
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,46.12823624,14.9899565,1.504466437,40.97595393
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,33.94422539,30.75654,4.679418257,22.06752931
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,76.81559606,33.95402302,4.505358905,70.80845085
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,53.89710259,21.93003798,1.9692279,45.69198634
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,70.32853561,6.599268924,0.644015911,68.6337569
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,47.06974119,18.93650303,1.982879899,42.66334141
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,44.9025462,23.35791105,2.063848689,39.98862075
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,69.12000259,2.324887536,0.267788093,68.52491794
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,29.74763105,22.9138387,3.034141777,24.60501787
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,98.85254868,31.80932385,3.637240773,90.1924516
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Highway,1.1,23.01509219,35.54047681,3.367314771,5.476994427
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,89.06853822,35.57114315,4.492337252,77.24659809
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,53.54307952,26.45112584,3.796085799,43.55338005
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,52.36435072,14.1922431,1.396227619,50.59697399
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,22.54310666,24.22673386,2.27866195,9.371650298
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,80.53601698,17.24169944,1.210193602,75.8814262
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Eco,0.85,67.98870919,19.29986107,1.981265931,64.94060775
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,73.05775376,23.00696276,1.799072525,69.05981482
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,97.97264515,26.46074213,2.48878312,83.58661555
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,12.96713014,8.754521511,1.137541776,10.25869734
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,63.95995313,6.448100978,0.740310101,62.01176866
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,64.12190355,13.72029736,1.400030343,58.28844379
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,15.30333525,26.67119989,2.708986138,6.273381459
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,73.69962418,38.97128399,3.665470654,52.51193254
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,59.20375559,4.392826972,0.365156024,58.16045266
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,36.89057314,18.37865755,1.298575139,33.18035845
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,99.98404837,3.766077681,0.489355208,98.81891692
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,79.31038811,21.03321264,2.879684097,74.07459884
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Aggressive,1.25,97.84975722,27.3749117,3.421863963,89.70246207
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Eco,0.85,25.67365411,11.38246853,1.168490127,23.87597699
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,City,1,95.25803116,20.25199797,2.445893475,91.49511812
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Aggressive,1.25,99.31894343,6.608645204,1.142573514,96.41901066
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,City,1,59.65611539,6.239676026,0.752675033,58.65254868
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Aggressive,1.25,81.36969644,34.36096003,5.940691568,66.29179906
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,59.77154623,12.83673308,1.007499826,56.41321348
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,City,1,96.21096032,36.56424723,3.991730046,88.2751153
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Highway,1.1,17.89388227,27.20092196,2.577176069,4.47109025
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,97.50265308,4.679789752,0.550182751,96.10625015
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,27.96413136,19.0311117,2.597040352,22.80102927
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Highway,1.1,87.79495139,27.17389479,2.468314143,78.30143546
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,97.39248285,12.31194732,1.158008589,90.69879159
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,85.93907431,15.26622445,1.672094682,82.89890217
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,86.77285826,17.69744613,1.80586185,79.24843389
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Aggressive,1.25,38.47454085,14.38854467,2.16956343,35.58178961
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,99.98060729,12.81030564,1.260273124,98.38532486
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,86.09514158,19.56008623,2.705406118,79.22862859
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,89.33587613,6.476765108,0.536075366,86.23717459
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,70.7495982,9.417660364,0.972095413,67.01076968
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,30.05215333,8.472950809,0.704318438,28.03981493
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,60.49827963,15.98345701,1.47585014,55.57877916
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,11.49613261,37.01869351,3.848097039,2.333996801
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,57.08731274,16.89146454,2.33630215,51.15761185
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,12.62248643,31.92346301,3.753104227,3.09684118
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,94.02549693,15.01387488,1.276179365,90.98697463
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,35.46254825,6.76387334,0.876355792,33.80592104
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,10.60169008,12.84340275,1.412774303,7.237941737
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Highway,1.1,45.3655506,12.2169594,1.623026007,42.86858752
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,37.4852884,8.881413225,0.817057334,35.11700627
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,92.92767297,29.60163004,4.282643235,87.50660558
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,11.6560824,18.26960734,2.151897213,7.588223777
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,61.87849125,16.56410289,1.907907139,57.6386976
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,90.74758066,8.687211127,0.782217104,89.42178896
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,68.65366319,15.68124038,1.843575979,63.97453634
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,82.76460843,23.26660963,2.787937973,78.03928983
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,94.14897297,14.91279454,1.491279454,90.59830761
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,69.28679869,6.383026531,0.542557255,67.9949957
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,23.66190099,11.63484643,1.756468363,20.95964197
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,44.07099124,5.231264416,0.547776379,42.8537104
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,41.98376359,27.61053253,2.716313964,38.54539148
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Aggressive,1.25,54.77261654,27.76254233,3.633840619,46.69741516
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,78.8971173,26.41835102,3.172509402,72.58994155
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,75.30336436,13.10876394,1.334425072,73.6142187
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,60.20806372,28.41442757,3.112204553,54.54950998
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,58.84013481,3.045596648,0.316458505,57.93596766
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,49.59216225,10.37754948,1.510560331,47.76251069
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,96.5815697,9.330782179,1.697740571,94.52519788
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,43.2810672,5.498705263,0.510251034,42.26665162
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,89.36724589,12.47499264,1.147653417,86.81690496
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,95.05224711,7.707051075,0.564254385,92.11342218
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,10.09313201,30.40422931,3.220787004,4.634170991
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,57.45233171,3.738418095,0.259400439,56.37149655
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,45.55616758,15.74625807,1.417830441,43.15306514
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,57.04924005,3.882023352,0.40070431,55.50806963
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,52.80895681,18.0755239,1.979794513,49.20933043
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,61.63618836,19.92628817,2.086522321,56.99947209
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,83.65543711,36.66971558,2.86745706,77.28331031
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,60.94342106,8.327171518,1.136349825,58.68427628
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,57.36248276,30.92622881,3.527170257,45.28313257
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Aggressive,1.25,79.59413411,17.16707452,1.974134605,75.20716832
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,95.43209418,21.87265521,2.221599329,88.02676309
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,80.26701579,32.35659048,2.9959806,75.18908257
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,46.64029799,13.15899695,0.913073258,42.83582608
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,36.54396979,36.13673736,3.730051338,22.19761849
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,53.52834402,20.22929168,2.102836973,48.52158932
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,76.99138936,30.74650302,2.440198652,67.23059475
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,95.44960292,7.644618342,0.767251841,92.82202812
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,84.03216748,36.48163218,3.396427969,77.8568439
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,61.77135193,3.842402014,0.271491414,60.99566218
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,29.5130316,38.6328679,5.687995862,18.76067647
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Highway,1.1,32.15180755,30.81447753,3.712587655,25.40164818
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,57.22492229,24.37027129,2.437027129,51.42247674
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Highway,1.1,84.73406776,18.70938904,2.254143258,80.63562547
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Highway,1.1,16.9167763,23.5391415,2.230237351,5.300956758
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,21.15687992,3.608993847,0.412670814,20.17433036
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,20.8591833,31.99723003,2.719764553,14.38355341
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,75.28385269,24.31985196,2.067187416,70.36197789
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,81.49194406,38.00230328,4.93792922,69.73496973
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Eco,0.85,61.73773439,33.31827054,3.42035386,56.47565153
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,59.65757819,20.31800434,2.152330968,56.0095596
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,53.66264775,32.00660157,4.65889397,48.01960758
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,93.53767592,37.63809859,3.389023708,87.79356794
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Eco,0.85,95.13482903,5.45594328,0.348950473,93.11777427
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,93.3885203,22.4921037,2.284516535,85.77346519
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,83.69390952,36.28772714,3.084456807,76.34996474
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,56.46818981,9.073808195,0.853443209,51.53499207
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,84.79836677,37.70950433,3.078326884,71.97200476
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,84.21600779,13.22468326,0.928239535,80.64585573
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,46.02399093,13.25690358,1.674235813,41.61810721
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,55.01272945,35.86897107,3.169295781,47.46678712
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,77.19494322,23.1573522,1.890396098,69.31829281
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,66.55748261,17.67476432,2.117891149,62.96783659
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,50.82216533,12.25880504,1.468120364,48.96378512
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,35.6727452,32.15977036,2.272302976,29.18045098
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,City,1,76.11012588,22.69418864,2.737537834,72.46007544
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,26.81585191,21.51372423,2.190019832,24.04367491
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,89.86830514,9.344835515,1.088910918,88.02269342
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,81.30952333,38.17876373,3.886460979,76.38995247
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,City,1,99.41294155,27.73151974,2.530248151,90.74770816
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,96.29020165,19.71097417,2.698654733,91.38355668
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,25.50153897,29.53057908,2.628376148,19.66070309
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,90.86272952,20.46555129,2.353444261,84.04115196
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,68.93332414,23.01269388,3.329382795,64.71891554
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,65.93102804,34.15675889,2.64901871,56.85904616
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Highway,1.1,86.90625557,21.75290905,2.060999135,76.17188507
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,36.98401302,28.99247157,2.561704869,30.88471572
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,62.99191594,22.83155175,1.602544921,56.82828163
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,68.85118204,29.62658745,3.01588016,65.03361222
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,66.5137747,2.483700953,0.297449216,66.1372567
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,66.27442287,19.78789498,1.861163937,55.51624982
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,66.14533389,3.637574932,0.354987221,65.21115699
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Eco,0.85,88.22561709,20.45256486,1.308102343,80.66433187
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,69.96953251,27.82895967,2.582381629,64.83557301
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,18.39609973,9.119858664,0.941356179,14.77549904
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,City,1,49.4460163,13.21103899,1.59553611,46.99134536
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,48.63099874,15.03371719,2.051544376,44.55238169
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,37.86363409,17.32258902,2.363890422,33.16405075
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,73.59855102,38.4265854,3.921080143,57.26071709
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,89.1244576,27.87179362,2.71997986,81.96661586
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Eco,0.85,55.30394595,19.36143646,1.30612865,50.07943135
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,16.02085909,36.13728547,4.210912502,8.883719259
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,66.4010374,3.524612622,0.509926595,65.75556069
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,36.65394122,10.01344778,0.92460275,33.57193206
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,38.14032145,25.47286077,3.050642009,34.27874929
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,44.3694632,39.44263589,2.768475682,33.72147981
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,73.31457042,9.35460792,0.842311094,71.8869245
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,15.80826909,15.49677158,2.121682857,11.9506639
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,98.27066842,39.24246165,4.855326406,92.38970136
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,53.48148451,30.63395469,3.063395469,46.18768578
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,City,1,86.0006549,12.6502533,1.154220192,82.04784603
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,25.10815749,32.63552057,3.752934748,14.23008575
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,23.10190585,3.125942828,0.42564581,22.38047227
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,25.41368351,35.24809569,3.877290526,16.1820394
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,87.08886763,2.184859962,0.200999077,86.50626161
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,44.10033606,10.45755149,0.853677672,40.54334576
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,79.50340402,11.12543705,0.882971194,75.97151924
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,34.7282495,17.25514501,2.349556782,30.74594987
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,14.67572874,14.29229925,1.430913353,11.97078856
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,20.15025546,6.79489614,1.087974637,18.83245672
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,29.41405396,39.37744818,3.43771373,15.66319904
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Eco,0.85,97.10039428,39.83140553,3.545203633,89.22216398
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,37.0723877,38.7476797,5.359291798,23.47012425
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,68.14395827,15.56503533,2.131028934,64.26936021
